epochs,mf_loss,reg_loss,loss,recall,precision,train_time,eval_time
258,0.00682,0.01454,0.02136,0.3536,0.1431,34.47,0.37676286697387695
259,0.00672,0.01455,0.02127,0.3557,0.1442,34.41,0.37270283699035645
260,0.00699,0.0145,0.02149,0.3594,0.1454,34.79,0.37076783180236816
261,0.00686,0.0145,0.02136,0.3591,0.1457,34.25,0.6828732490539551
262,0.00657,0.0145,0.02107,0.3585,0.1453,34.8,0.36719322204589844
263,0.00706,0.01449,0.02155,0.3607,0.1468,34.69,0.34915900230407715
264,0.0066,0.01449,0.02109,0.3598,0.1465,34.83,0.39786219596862793
265,0.00726,0.01447,0.02173,0.3582,0.1451,34.34,0.3777031898498535
266,0.00688,0.01448,0.02136,0.3609,0.1461,35.08,0.3661477565765381
267,0.00689,0.01451,0.0214,0.3568,0.1448,34.61,0.34758710861206055
268,0.00647,0.01448,0.02094,0.3574,0.1446,34.54,0.38494110107421875
269,0.00701,0.01445,0.02146,0.3576,0.1449,34.32,0.37230825424194336
270,0.00696,0.01447,0.02143,0.3588,0.1454,34.7,0.3604559898376465
271,0.00664,0.01446,0.0211,0.3582,0.1448,34.51,0.3781709671020508
272,0.00691,0.01447,0.02138,0.3593,0.1455,35.38,0.7140328884124756
273,0.00658,0.01445,0.02103,0.3585,0.1451,34.97,0.39711689949035645
274,0.00671,0.01444,0.02115,0.3578,0.1451,33.98,0.35553789138793945
275,0.0069,0.01443,0.02132,0.3555,0.1448,35.01,0.4175839424133301
276,0.00699,0.01444,0.02143,0.3562,0.1444,34.03,0.34055495262145996
277,0.00683,0.01447,0.0213,0.358,0.1449,35.5,0.3525252342224121
278,0.00677,0.01446,0.02124,0.3571,0.1448,34.78,0.34719181060791016
279,0.00698,0.01447,0.02145,0.3547,0.1439,34.73,0.37639403343200684
280,0.00666,0.01447,0.02112,0.3547,0.1442,34.5,0.37111926078796387
281,0.00696,0.01446,0.02143,0.3561,0.1447,34.76,0.3774421215057373
282,0.00698,0.01446,0.02144,0.3577,0.145,34.53,0.3718559741973877
283,0.00703,0.01448,0.0215,0.3596,0.1456,35.05,0.7025437355041504
284,0.00684,0.01451,0.02135,0.3589,0.1457,34.96,0.36923861503601074
285,0.00719,0.01452,0.02171,0.3593,0.1468,34.74,0.3792271614074707
286,0.00692,0.01451,0.02143,0.3597,0.1466,34.93,0.3817563056945801
287,0.00706,0.01451,0.02157,0.3587,0.146,33.76,0.3682861328125
288,0.00718,0.0145,0.02168,0.3563,0.1442,34.55,0.3619420528411865
289,0.00691,0.01453,0.02144,0.3575,0.1456,34.17,0.37960100173950195
290,0.00684,0.0145,0.02134,0.3567,0.1449,34.82,0.3625631332397461
291,0.00671,0.01449,0.0212,0.3597,0.1466,34.07,0.34978318214416504
292,0.00668,0.01442,0.0211,0.3589,0.146,35.03,0.337327241897583
293,0.00677,0.01441,0.02118,0.3586,0.1455,34.64,0.3392798900604248
294,0.0065,0.01442,0.02091,0.3566,0.1449,34.46,0.7578470706939697
295,0.00717,0.0144,0.02157,0.3584,0.1448,33.97,0.3849358558654785
296,0.00705,0.01442,0.02146,0.3587,0.1455,34.9,0.378497838973999
297,0.0067,0.01443,0.02113,0.3568,0.145,34.84,0.3497178554534912
298,0.00629,0.01438,0.02068,0.3605,0.1463,34.89,0.39434385299682617
299,0.00686,0.01435,0.02121,0.3586,0.1453,33.8,0.3614461421966553
300,0.00674,0.01435,0.02109,0.3538,0.1441,34.75,0.3490908145904541
